Season,Date,Game Type,Team,Opponent,Arena,City,State,Attendance,game_date,attendance
2022,"May 17, 2022",Regular season,New York Liberty,Connecticut Sun,Barclays Center,Brooklyn,NY,3054,2022-05-17,3054
2022,"May 17, 2022",Regular season,Indiana Fever,Atlanta Dream,Gainbridge Fieldhouse,Indianapolis,IN,960,2022-05-17,960
2022,"May 17, 2022",Regular season,Dallas Wings,Washington Mystics,College Park Center,Arlington,TX,3035,2022-05-17,3035
2022,"May 17, 2022",Regular season,Las Vegas Aces,Phoenix Mercury,Michelob ULTRA Arena,Las Vegas,NV,2536,2022-05-17,2536
2022,"May 17, 2022",Regular season,Los Angeles Sparks,Minnesota Lynx,Crypto.com Arena,Los Angeles,CA,4701,2022-05-17,4701
2022,"May 18, 2022",Regular season,Seattle Storm,Chicago Sky,Climate Pledge Arena,Seattle,WA,7450,2022-05-18,7450
2022,"May 19, 2022",Regular season,Las Vegas Aces,Minnesota Lynx,Michelob ULTRA Arena,Las Vegas,NV,3640,2022-05-19,3640
2022,"May 19, 2022",Regular season,Phoenix Mercury,Dallas Wings,Footprint Center,Phoenix,AZ,6151,2022-05-19,6151
2022,"May 20, 2022",Regular season,Connecticut Sun,Indiana Fever,Mohegan Sun Arena,Uncasville,CT,4428,2022-05-20,4428
2022,"May 20, 2022",Regular season,Atlanta Dream,Washington Mystics,Gateway Center Arena @ College Park,Atlanta,GA,2237,2022-05-20,2237
2022,"May 20, 2022",Regular season,Seattle Storm,Los Angeles Sparks,Climate Pledge Arena,Seattle,WA,10103,2022-05-20,10103
2022,"May 21, 2022",Regular season,Las Vegas Aces,Phoenix Mercury,Michelob ULTRA Arena,Las Vegas,NV,5572,2022-05-21,5572
2022,"May 21, 2022",Regular season,Dallas Wings,Minnesota Lynx,College Park Center,Arlington,TX,3813,2022-05-21,3813
2022,"May 22, 2022",Regular season,Indiana Fever,Connecticut Sun,Gainbridge Fieldhouse,Indianapolis,IN,2612,2022-05-22,2612
2022,"May 22, 2022",Regular season,Washington Mystics,Chicago Sky,Entertainment and Sports Arena,Washington,DC,4200,2022-05-22,4200
2022,"May 23, 2022",Regular season,Las Vegas Aces,Los Angeles Sparks,Michelob ULTRA Arena,Las Vegas,NV,4092,2022-05-23,4092
2022,"May 24, 2022",Regular season,Connecticut Sun,Dallas Wings,Mohegan Sun Arena,Uncasville,CT,4180,2022-05-24,4180
2022,"May 24, 2022",Regular season,Washington Mystics,Atlanta Dream,Entertainment and Sports Arena,Washington,DC,2687,2022-05-24,2687
2022,"May 24, 2022",Regular season,Chicago Sky,Indiana Fever,Wintrust Arena,Chicago,IL,7741,2022-05-24,7741
2022,"May 24, 2022",Regular season,Minnesota Lynx,New York Liberty,Target Center,Minneapolis,MN,6104,2022-05-24,6104
2022,"May 25, 2022",Regular season,Los Angeles Sparks,Phoenix Mercury,Crypto.com Arena,Los Angeles,CA,4020,2022-05-25,4020
2022,"May 26, 2022",Regular season,Connecticut Sun,Dallas Wings,Mohegan Sun Arena,Uncasville,CT,4308,2022-05-26,4308
2022,"May 27, 2022",Regular season,Indiana Fever,Los Angeles Sparks,Indiana Farmers Coliseum,Indianapolis,IN,1417,2022-05-27,1417
2022,"May 27, 2022",Regular season,Seattle Storm,New York Liberty,Climate Pledge Arena,Seattle,WA,10001,2022-05-27,10001
2022,"May 28, 2022",Regular season,Chicago Sky,Las Vegas Aces,Wintrust Arena,Chicago,IL,6812,2022-05-28,6812
2022,"May 28, 2022",Regular season,Connecticut Sun,Washington Mystics,Mohegan Sun Arena,Uncasville,CT,5482,2022-05-28,5482
2022,"May 29, 2022",Regular season,Atlanta Dream,Phoenix Mercury,Gateway Center Arena @ College Park,Atlanta,GA,3138,2022-05-29,3138
2022,"May 29, 2022",Regular season,Seattle Storm,New York Liberty,Climate Pledge Arena,Seattle,WA,10228,2022-05-29,10228
2022,"May 29, 2022",Regular season,Minnesota Lynx,Los Angeles Sparks,Target Center,Minneapolis,MN,7234,2022-05-29,7234
2022,"May 31, 2022",Regular season,Indiana Fever,Washington Mystics,Indiana Farmers Coliseum,Indianapolis,IN,1009,2022-05-31,1009
2022,"May 31, 2022",Regular season,Chicago Sky,Phoenix Mercury,Wintrust Arena,Chicago,IL,5133,2022-05-31,5133
2022,"May 31, 2022",Regular season,Las Vegas Aces,Connecticut Sun,Michelob ULTRA Arena,Las Vegas,NV,4693,2022-05-31,4693
2022,"May 31, 2022",Regular season,Los Angeles Sparks,Dallas Wings,Crypto.com Arena,Los Angeles,CA,4852,2022-05-31,4852
2022,"June 1, 2022",Regular season,Atlanta Dream,Minnesota Lynx,Gateway Center Arena @ College Park,Atlanta,GA,1268,2022-06-01,1268
2022,"June 1, 2022",Regular season,New York Liberty,Indiana Fever,Barclays Center,Brooklyn,NY,4079,2022-06-01,4079
2022,"June 2, 2022",Regular season,Las Vegas Aces,Connecticut Sun,Michelob ULTRA Arena,Las Vegas,NV,3801,2022-06-02,3801
2022,"June 3, 2022",Regular season,Washington Mystics,New York Liberty,Entertainment and Sports Arena,Washington,DC,3857,2022-06-03,3857
2022,"June 3, 2022",Regular season,Atlanta Dream,Chicago Sky,Gateway Center Arena @ College Park,Atlanta,GA,3138,2022-06-03,3138
2022,"June 3, 2022",Regular season,Phoenix Mercury,Connecticut Sun,Footprint Center,Phoenix,AZ,7180,2022-06-03,7180
2022,"June 3, 2022",Regular season,Seattle Storm,Dallas Wings,Climate Pledge Arena,Seattle,WA,8023,2022-06-03,8023
2022,"June 5, 2022",Regular season,New York Liberty,Minnesota Lynx,Barclays Center,Brooklyn,NY,4119,2022-06-05,4119
2022,"June 5, 2022",Regular season,Atlanta Dream,Indiana Fever,Gateway Center Arena @ College Park,Atlanta,GA,3000,2022-06-05,3000
2022,"June 5, 2022",Regular season,Chicago Sky,Washington Mystics,Wintrust Arena,Chicago,IL,6228,2022-06-05,6228
2022,"June 5, 2022",Regular season,Las Vegas Aces,Dallas Wings,Michelob ULTRA Arena,Las Vegas,NV,4814,2022-06-05,4814
2022,"June 5, 2022",Regular season,Phoenix Mercury,Los Angeles Sparks,Footprint Center,Phoenix,AZ,10151,2022-06-05,10151
2022,"June 5, 2022",Regular season,Seattle Storm,Connecticut Sun,Climate Pledge Arena,Seattle,WA,11330,2022-06-05,11330
2022,"June 7, 2022",Regular season,New York Liberty,Minnesota Lynx,Barclays Center,Brooklyn,NY,3196,2022-06-07,3196
2022,"June 7, 2022",Regular season,Seattle Storm,Atlanta Dream,Climate Pledge Arena,Seattle,WA,7262,2022-06-07,7262
2022,"June 8, 2022",Regular season,Connecticut Sun,Indiana Fever,Mohegan Sun Arena,Uncasville,CT,4088,2022-06-08,4088
2022,"June 8, 2022",Regular season,Washington Mystics,Chicago Sky,Entertainment and Sports Arena,Washington,DC,2984,2022-06-08,2984
2022,"June 10, 2022",Regular season,Connecticut Sun,Chicago Sky,Mohegan Sun Arena,Uncasville,CT,4816,2022-06-10,4816
2022,"June 10, 2022",Regular season,Indiana Fever,New York Liberty,Indiana Farmers Coliseum,Indianapolis,IN,1393,2022-06-10,1393
2022,"June 10, 2022",Regular season,Dallas Wings,Seattle Storm,College Park Center,Arlington,TX,3292,2022-06-10,3292
2022,"June 10, 2022",Regular season,Minnesota Lynx,Washington Mystics,Target Center,Minneapolis,MN,6315,2022-06-10,6315
2022,"June 10, 2022",Regular season,Phoenix Mercury,Atlanta Dream,Footprint Center,Phoenix,AZ,7650,2022-06-10,7650
2022,"June 11, 2022",Regular season,Los Angeles Sparks,Las Vegas Aces,Crypto.com Arena,Los Angeles,CA,8200,2022-06-11,8200
2022,"June 12, 2022",Regular season,New York Liberty,Chicago Sky,Barclays Center,Brooklyn,NY,4810,2022-06-12,4810
2022,"June 12, 2022",Regular season,Dallas Wings,Seattle Storm,College Park Center,Arlington,TX,3273,2022-06-12,3273
2022,"June 12, 2022",Regular season,Washington Mystics,Phoenix Mercury,Entertainment and Sports Arena,Washington,DC,4200,2022-06-12,4200
2022,"June 12, 2022",Regular season,Minnesota Lynx,Indiana Fever,Target Center,Minneapolis,MN,6806,2022-06-12,6806
2022,"June 14, 2022",Regular season,Washington Mystics,Phoenix Mercury,Entertainment and Sports Arena,Washington,DC,3088,2022-06-14,3088
2022,"June 14, 2022",Regular season,Minnesota Lynx,Seattle Storm,Target Center,Minneapolis,MN,6031,2022-06-14,6031
2022,"June 15, 2022",Regular season,Dallas Wings,Las Vegas Aces,College Park Center,Arlington,TX,4375,2022-06-15,4375
2022,"June 15, 2022",Regular season,Connecticut Sun,Atlanta Dream,Mohegan Sun Arena,Uncasville,CT,4014,2022-06-15,4014
2022,"June 15, 2022",Regular season,Indiana Fever,Phoenix Mercury,Indiana Farmers Coliseum,Indianapolis,IN,1824,2022-06-15,1824
2022,"June 16, 2022",Regular season,New York Liberty,Washington Mystics,Barclays Center,Brooklyn,NY,4168,2022-06-16,4168
2022,"June 17, 2022",Regular season,Connecticut Sun,Seattle Storm,Mohegan Sun Arena,Uncasville,CT,7088,2022-06-17,7088
2022,"June 17, 2022",Regular season,Dallas Wings,Phoenix Mercury,College Park Center,Arlington,TX,3140,2022-06-17,3140
2022,"June 17, 2022",Regular season,Chicago Sky,Atlanta Dream,Wintrust Arena,Chicago,IL,7435,2022-06-17,7435
2022,"June 19, 2022",Regular season,New York Liberty,Seattle Storm,Barclays Center,Brooklyn,NY,6859,2022-06-19,6859
2022,"June 19, 2022",Regular season,Washington Mystics,Connecticut Sun,Entertainment and Sports Arena,Washington,DC,3959,2022-06-19,3959
2022,"June 19, 2022",Regular season,Indiana Fever,Chicago Sky,Indiana Farmers Coliseum,Indianapolis,IN,1706,2022-06-19,1706
2022,"June 19, 2022",Regular season,Dallas Wings,Los Angeles Sparks,College Park Center,Arlington,TX,3779,2022-06-19,3779
2022,"June 19, 2022",Regular season,Las Vegas Aces,Minnesota Lynx,Michelob ULTRA Arena,Las Vegas,NV,4603,2022-06-19,4603
2022,"June 21, 2022",Regular season,Atlanta Dream,Dallas Wings,Gateway Center Arena @ College Park,Atlanta,GA,2012,2022-06-21,2012
2022,"June 21, 2022",Regular season,Las Vegas Aces,Chicago Sky,Michelob ULTRA Arena,Las Vegas,NV,4951,2022-06-21,4951
2022,"June 21, 2022",Regular season,Phoenix Mercury,Minnesota Lynx,Footprint Center,Phoenix,AZ,6394,2022-06-21,6394
2022,"June 21, 2022",Regular season,Los Angeles Sparks,Washington Mystics,Crypto.com Arena,Los Angeles,CA,3745,2022-06-21,3745
2022,"June 22, 2022",Regular season,Connecticut Sun,New York Liberty,Mohegan Sun Arena,Uncasville,CT,4652,2022-06-22,4652
2022,"June 23, 2022",Regular season,Dallas Wings,Indiana Fever,College Park Center,Arlington,TX,2791,2022-06-23,2791
2022,"June 23, 2022",Regular season,Minnesota Lynx,Phoenix Mercury,Target Center,Minneapolis,MN,8004,2022-06-23,8004
2022,"June 23, 2022",Regular season,Seattle Storm,Washington Mystics,Climate Pledge Arena,Seattle,WA,9884,2022-06-23,9884
2022,"June 23, 2022",Regular season,Los Angeles Sparks,Chicago Sky,Crypto.com Arena,Los Angeles,CA,5627,2022-06-23,5627
2022,"June 24, 2022",Regular season,Atlanta Dream,New York Liberty,Gateway Center Arena @ College Park,Atlanta,GA,2697,2022-06-24,2697
2022,"June 25, 2022",Regular season,Dallas Wings,Phoenix Mercury,College Park Center,Arlington,TX,4240,2022-06-25,4240
2022,"June 25, 2022",Regular season,Seattle Storm,Los Angeles Sparks,Climate Pledge Arena,Seattle,WA,9955,2022-06-25,9955
2022,"June 25, 2022",Regular season,Las Vegas Aces,Washington Mystics,Michelob ULTRA Arena,Las Vegas,NV,7171,2022-06-25,7171
2022,"June 26, 2022",Regular season,Atlanta Dream,Connecticut Sun,Gateway Center Arena @ College Park,Atlanta,GA,2722,2022-06-26,2722
2022,"June 26, 2022",Regular season,Chicago Sky,Minnesota Lynx,Wintrust Arena,Chicago,IL,7022,2022-06-26,7022
2022,"June 27, 2022",Regular season,Phoenix Mercury,Indiana Fever,Footprint Center,Phoenix,AZ,5044,2022-06-27,5044
2022,"June 27, 2022",Regular season,Los Angeles Sparks,Las Vegas Aces,Crypto.com Arena,Los Angeles,CA,4200,2022-06-27,4200
2022,"June 28, 2022",Regular season,Washington Mystics,Atlanta Dream,Entertainment and Sports Arena,Washington,DC,3517,2022-06-28,3517
2022,"June 28, 2022",Regular season,Minnesota Lynx,Dallas Wings,Target Center,Minneapolis,MN,5603,2022-06-28,5603
2022,"June 29, 2022",Regular season,Chicago Sky,Connecticut Sun,Wintrust Arena,Chicago,IL,6709,2022-06-29,6709
2022,"June 29, 2022",Regular season,Phoenix Mercury,Indiana Fever,Footprint Center,Phoenix,AZ,5833,2022-06-29,5833
2022,"June 29, 2022",Regular season,Seattle Storm,Las Vegas Aces,Climate Pledge Arena,Seattle,WA,9499,2022-06-29,9499
2022,"June 30, 2022",Regular season,New York Liberty,Atlanta Dream,Barclays Center,Brooklyn,NY,6161,2022-06-30,6161
2022,"July 1, 2022",Regular season,Dallas Wings,Los Angeles Sparks,College Park Center,Arlington,TX,3187,2022-07-01,3187
2022,"July 1, 2022",Regular season,Minnesota Lynx,Las Vegas Aces,Target Center,Minneapolis,MN,6104,2022-07-01,6104
2022,"July 1, 2022",Regular season,Seattle Storm,Indiana Fever,Climate Pledge Arena,Seattle,WA,8565,2022-07-01,8565
2022,"July 2, 2022",Regular season,Chicago Sky,Phoenix Mercury,Wintrust Arena,Chicago,IL,8028,2022-07-02,8028
2022,"July 3, 2022",Regular season,Connecticut Sun,Washington Mystics,Mohegan Sun Arena,Uncasville,CT,5814,2022-07-03,5814
2022,"July 3, 2022",Regular season,Atlanta Dream,Seattle Storm,Gateway Center Arena @ College Park,Atlanta,GA,3138,2022-07-03,3138
2022,"July 3, 2022",Regular season,Los Angeles Sparks,New York Liberty,Crypto.com Arena,Los Angeles,CA,5436,2022-07-03,5436
2022,"July 3, 2022",Regular season,Minnesota Lynx,Las Vegas Aces,Target Center,Minneapolis,MN,7603,2022-07-03,7603
2022,"July 4, 2022",Regular season,Los Angeles Sparks,Phoenix Mercury,Crypto.com Arena,Los Angeles,CA,3340,2022-07-04,3340
2022,"July 5, 2022",Regular season,Indiana Fever,Seattle Storm,Indiana Farmers Coliseum,Indianapolis,IN,2585,2022-07-05,2585
2022,"July 5, 2022",Regular season,Dallas Wings,Connecticut Sun,College Park Center,Arlington,TX,3445,2022-07-05,3445
2022,"July 6, 2022",Regular season,Minnesota Lynx,Chicago Sky,Target Center,Minneapolis,MN,11103,2022-07-06,11103
2022,"July 6, 2022",Regular season,Atlanta Dream,Washington Mystics,Gateway Center Arena @ College Park,Atlanta,GA,1810,2022-07-06,1810
2022,"July 6, 2022",Regular season,Las Vegas Aces,New York Liberty,Michelob ULTRA Arena,Las Vegas,NV,8405,2022-07-06,8405
2022,"July 7, 2022",Regular season,Indiana Fever,Chicago Sky,Indiana Farmers Coliseum,Indianapolis,IN,1839,2022-07-07,1839
2022,"July 7, 2022",Regular season,Phoenix Mercury,New York Liberty,Footprint Center,Phoenix,AZ,6158,2022-07-07,6158
2022,"July 7, 2022",Regular season,Los Angeles Sparks,Seattle Storm,Crypto.com Arena,Los Angeles,CA,6389,2022-07-07,6389
2022,"July 12, 2022",Regular season,Seattle Storm,Dallas Wings,Climate Pledge Arena,Seattle,WA,9486,2022-07-12,9486
2022,"July 12, 2022",Regular season,New York Liberty,Las Vegas Aces,Barclays Center,Brooklyn,NY,5201,2022-07-12,5201
2022,"July 12, 2022",Regular season,Chicago Sky,Atlanta Dream,Wintrust Arena,Chicago,IL,7074,2022-07-12,7074
2022,"July 12, 2022",Regular season,Minnesota Lynx,Phoenix Mercury,Target Center,Minneapolis,MN,6503,2022-07-12,6503
2022,"July 12, 2022",Regular season,Los Angeles Sparks,Washington Mystics,Crypto.com Arena,Los Angeles,CA,5004,2022-07-12,5004
2022,"July 13, 2022",Regular season,Indiana Fever,Connecticut Sun,Indiana Farmers Coliseum,Indianapolis,IN,3212,2022-07-13,3212
2022,"July 14, 2022",Regular season,New York Liberty,Las Vegas Aces,Barclays Center,Brooklyn,NY,9896,2022-07-14,9896
2022,"July 14, 2022",Regular season,Minnesota Lynx,Dallas Wings,Target Center,Minneapolis,MN,4834,2022-07-14,4834
2022,"July 14, 2022",Regular season,Phoenix Mercury,Washington Mystics,Footprint Center,Phoenix,AZ,5994,2022-07-14,5994
2022,"July 14, 2022",Regular season,Los Angeles Sparks,Chicago Sky,Crypto.com Arena,Los Angeles,CA,5856,2022-07-14,5856
2022,"July 15, 2022",Regular season,Indiana Fever,Minnesota Lynx,Indiana Farmers Coliseum,Indianapolis,IN,1530,2022-07-15,1530
2022,"July 15, 2022",Regular season,Atlanta Dream,Connecticut Sun,Gateway Center Arena @ College Park,Atlanta,GA,2962,2022-07-15,2962
2022,"July 16, 2022",Regular season,Dallas Wings,Chicago Sky,College Park Center,Arlington,TX,5126,2022-07-16,5126
2022,"July 17, 2022",Regular season,Connecticut Sun,Las Vegas Aces,Mohegan Sun Arena,Uncasville,CT,6814,2022-07-17,6814
2022,"July 17, 2022",Regular season,Washington Mystics,Minnesota Lynx,Entertainment and Sports Arena,Washington,DC,4200,2022-07-17,4200
2022,"July 17, 2022",Regular season,Phoenix Mercury,Atlanta Dream,Footprint Center,Phoenix,AZ,7963,2022-07-17,7963
2022,"July 17, 2022",Regular season,Seattle Storm,Indiana Fever,Climate Pledge Arena,Seattle,WA,9970,2022-07-17,9970
2022,"July 19, 2022",Regular season,Connecticut Sun,New York Liberty,Mohegan Sun Arena,Uncasville,CT,6288,2022-07-19,6288
2022,"July 19, 2022",Regular season,Las Vegas Aces,Atlanta Dream,Michelob ULTRA Arena,Las Vegas,NV,5952,2022-07-19,5952
2022,"July 19, 2022",Regular season,Los Angeles Sparks,Indiana Fever,Crypto.com Arena,Los Angeles,CA,5478,2022-07-19,5478
2022,"July 20, 2022",Regular season,Chicago Sky,Seattle Storm,Wintrust Arena,Chicago,IL,8893,2022-07-20,8893
2022,"July 21, 2022",Regular season,Washington Mystics,New York Liberty,Capital One Arena,Washington,DC,7431,2022-07-21,7431
2022,"July 21, 2022",Regular season,Los Angeles Sparks,Atlanta Dream,Crypto.com Arena,Los Angeles,CA,10021,2022-07-21,10021
2022,"July 21, 2022",Regular season,Las Vegas Aces,Indiana Fever,Michelob ULTRA Arena,Las Vegas,NV,5737,2022-07-21,5737
2022,"July 22, 2022",Regular season,Minnesota Lynx,Connecticut Sun,Target Center,Minneapolis,MN,8321,2022-07-22,8321
2022,"July 22, 2022",Regular season,Chicago Sky,Dallas Wings,Wintrust Arena,Chicago,IL,7014,2022-07-22,7014
2022,"July 22, 2022",Regular season,Phoenix Mercury,Seattle Storm,Footprint Center,Phoenix,AZ,14162,2022-07-22,14162
2022,"July 23, 2022",Regular season,New York Liberty,Chicago Sky,Barclays Center,Brooklyn,NY,6926,2022-07-23,6926
2022,"July 23, 2022",Regular season,Las Vegas Aces,Los Angeles Sparks,Michelob ULTRA Arena,Las Vegas,NV,7522,2022-07-23,7522
2022,"July 24, 2022",Regular season,Indiana Fever,Dallas Wings,Hinkle Fieldhouse,Indianapolis,IN,1159,2022-07-24,1159
2022,"July 24, 2022",Regular season,Seattle Storm,Atlanta Dream,Climate Pledge Arena,Seattle,WA,12654,2022-07-24,12654
2022,"July 24, 2022",Regular season,Minnesota Lynx,Connecticut Sun,Target Center,Minneapolis,MN,7231,2022-07-24,7231
2022,"July 28, 2022",Regular season,Atlanta Dream,Minnesota Lynx,Gateway Center Arena @ College Park,Atlanta,GA,2396,2022-07-28,2396
2022,"July 28, 2022",Regular season,Connecticut Sun,Seattle Storm,Mohegan Sun Arena,Uncasville,CT,9137,2022-07-28,9137
2022,"July 28, 2022",Regular season,Dallas Wings,Washington Mystics,College Park Center,Arlington,TX,4382,2022-07-28,4382
2022,"July 28, 2022",Regular season,Phoenix Mercury,Los Angeles Sparks,Footprint Center,Phoenix,AZ,8124,2022-07-28,8124
2022,"July 29, 2022",Regular season,Indiana Fever,Las Vegas Aces,Hinkle Fieldhouse,Indianapolis,IN,1828,2022-07-29,1828
2022,"July 29, 2022",Regular season,Chicago Sky,New York Liberty,Wintrust Arena,Chicago,IL,6924,2022-07-29,6924
2022,"July 30, 2022",Regular season,Washington Mystics,Seattle Storm,Entertainment and Sports Arena,Washington,DC,4200,2022-07-30,4200
2022,"July 30, 2022",Regular season,Atlanta Dream,Dallas Wings,Gateway Center Arena @ College Park,Atlanta,GA,3138,2022-07-30,3138
2022,"July 31, 2022",Regular season,Connecticut Sun,Chicago Sky,Mohegan Sun Arena,Uncasville,CT,6254,2022-07-31,6254
2022,"July 31, 2022",Regular season,New York Liberty,Phoenix Mercury,Barclays Center,Brooklyn,NY,6433,2022-07-31,6433
2022,"July 31, 2022",Regular season,Indiana Fever,Las Vegas Aces,Hinkle Fieldhouse,Indianapolis,IN,1822,2022-07-31,1822
2022,"July 31, 2022",Regular season,Washington Mystics,Seattle Storm,Entertainment and Sports Arena,Washington,DC,4200,2022-07-31,4200
2022,"July 31, 2022",Regular season,Los Angeles Sparks,Minnesota Lynx,Crypto.com Arena,Los Angeles,CA,6857,2022-07-31,6857
2022,"August 2, 2022",Regular season,Connecticut Sun,Phoenix Mercury,Mohegan Sun Arena,Uncasville,CT,6130,2022-08-02,6130
