"Season","Date","Game Type","Team","Opponent","Arena","City","State","Attendance"
2018,"May 18, 2018","Regular season","Phoenix Mercury","Dallas Wings","Talking Stick Resort Arena","Phoenix","AZ",11210
2018,"May 19, 2018","Regular season","Indiana Fever","Chicago Sky","Bankers Life Fieldhouse","Indianapolis","IN",6565
2018,"May 20, 2018","Regular season","Connecticut Sun","Las Vegas Aces","Mohegan Sun Arena","Uncasville","CT",6637
2018,"May 20, 2018","Regular season","Washington Mystics","Indiana Fever","Capital One Arena","Washington","DC",7400
2018,"May 20, 2018","Regular season","Dallas Wings","Atlanta Dream","College Park Center","Arlington","TX",5907
2018,"May 20, 2018","Regular season","Minnesota Lynx","Los Angeles Sparks","Target Center","Minneapolis","MN",13032
2018,"May 20, 2018","Regular season","Chicago Sky","New York Liberty","Wintrust Arena","Chicago","IL",7922
2018,"May 20, 2018","Regular season","Seattle Storm","Phoenix Mercury","KeyArena","Seattle","WA",8602
2018,"May 22, 2018","Regular season","Indiana Fever","Los Angeles Sparks","Bankers Life Fieldhouse","Indianapolis","IN",4742
2018,"May 22, 2018","Regular season","Washington Mystics","Las Vegas Aces","Capital One Arena","Washington","DC",4509
2018,"May 23, 2018","Regular season","Chicago Sky","Atlanta Dream","Wintrust Arena","Chicago","IL",6147
2018,"May 23, 2018","Regular season","Minnesota Lynx","Dallas Wings","Target Center","Minneapolis","MN",7834
2018,"May 23, 2018","Regular season","Phoenix Mercury","Seattle Storm","Talking Stick Resort Arena","Phoenix","AZ",8068
2018,"May 24, 2018","Regular season","Connecticut Sun","Los Angeles Sparks","Mohegan Sun Arena","Uncasville","CT",5571
2018,"May 24, 2018","Regular season","Indiana Fever","Washington Mystics","Bankers Life Fieldhouse","Indianapolis","IN",4415
2018,"May 25, 2018","Regular season","New York Liberty","Minnesota Lynx","Westchester County Center","White Plains","NY",2315
2018,"May 25, 2018","Regular season","Seattle Storm","Chicago Sky","KeyArena","Seattle","WA",5866
2018,"May 26, 2018","Regular season","Atlanta Dream","Dallas Wings","McCamish Pavilion","Atlanta","GA",4749
2018,"May 26, 2018","Regular season","Connecticut Sun","Indiana Fever","Mohegan Sun Arena","Uncasville","CT",5843
2018,"May 27, 2018","Regular season","Washington Mystics","Minnesota Lynx","Capital One Arena","Washington","DC",5723
2018,"May 27, 2018","Regular season","Los Angeles Sparks","Phoenix Mercury","Staples Center","Los Angeles","CA",11201
2018,"May 27, 2018","Regular season","Las Vegas Aces","Seattle Storm","Mandalay Bay Events Center","Las Vegas","NV",7662
2018,"May 29, 2018","Regular season","Atlanta Dream","Minnesota Lynx","McCamish Pavilion","Atlanta","GA",3785
2018,"May 29, 2018","Regular season","New York Liberty","Dallas Wings","Westchester County Center","White Plains","NY",1516
2018,"May 29, 2018","Regular season","Seattle Storm","Washington Mystics","KeyArena","Seattle","WA",4453
2018,"May 30, 2018","Regular season","Phoenix Mercury","Washington Mystics","Talking Stick Resort Arena","Phoenix","AZ",8188
2018,"May 31, 2018","Regular season","Seattle Storm","Las Vegas Aces","KeyArena","Seattle","WA",5235
2018,"June 1, 2018","Regular season","Minnesota Lynx","Phoenix Mercury","Target Center","Minneapolis","MN",8830
2018,"June 1, 2018","Regular season","Chicago Sky","Connecticut Sun","Wintrust Arena","Chicago","IL",4131
2018,"June 1, 2018","Regular season","Las Vegas Aces","Washington Mystics","Mandalay Bay Events Center","Las Vegas","NV",5575
2018,"June 2, 2018","Regular season","Indiana Fever","New York Liberty","Bankers Life Fieldhouse","Indianapolis","IN",5575
2018,"June 2, 2018","Regular season","Dallas Wings","Seattle Storm","College Park Center","Arlington","TX",5191
2018,"June 3, 2018","Regular season","Atlanta Dream","Phoenix Mercury","McCamish Pavilion","Atlanta","GA",3796
